display_name
"Technology (includes SaaS, Software, AI, etc.)"
Financial Services / Fintech
Healthcare
E-commerce
Education / EdTech
Marketing & Advertising
Real Estate / PropTech
Media & Entertainment
Retail
Transportation & Logistics
Manufacturing
Legal Services
Government & Public Sector
Nonprofit
HR / Staffing
