name,display_name,is_active
America/Phoenix,America/Phoenix (GMT-7),TRUE
America/Port-au-Prince,America/Port-au-Prince (GMT-5),TRUE
America/Port_of_Spain,America/Port_of_Spain (GMT-4),TRUE
America/Porto_Velho,America/Porto_Velho (GMT-4),TRUE
America/Puerto_Rico,America/Puerto_Rico (GMT-4),TRUE
America/Punta_Arenas,America/Punta_Arenas (GMT-3),TRUE
America/Rankin_Inlet,America/Rankin_Inlet (GMT-6),TRUE
America/Recife,America/Recife (GMT-3),TRUE
America/Regina,America/Regina (GMT-6),TRUE
America/Resolute,America/Resolute (GMT-6),TRUE
America/Rio_Branco,America/Rio_Branco (GMT-5),TRUE
America/Santarem,America/Santarem (GMT-3),TRUE
America/Santiago,America/Santiago (GMT-4),TRUE
America/Santo_Domingo,America/Santo_Domingo (GMT-4),TRUE
America/Sao_Paulo,America/Sao_Paulo (GMT-3),TRUE
America/Scoresbysund,America/Scoresbysund (GMT-1),TRUE
America/Sitka,America/Sitka (GMT-9),TRUE
America/St_Johns,America/St_Johns (GMT-3:30),TRUE
America/Swift_Current,America/Swift_Current (GMT-6),TRUE
America/Tegucigalpa,America/Tegucigalpa (GMT-6),TRUE
America/Thule,America/Thule (GMT-4),TRUE
America/Thunder_Bay,America/Thunder_Bay (GMT-5),TRUE
America/Tijuana,America/Tijuana (GMT-8),TRUE
America/Toronto,America/Toronto (GMT-5),TRUE
America/Vancouver,America/Vancouver (GMT-8),TRUE
America/Whitehorse,America/Whitehorse (GMT-7),TRUE
America/Winnipeg,America/Winnipeg (GMT-6),TRUE
America/Yakutat,America/Yakutat (GMT-9),TRUE
America/Yellowknife,America/Yellowknife (GMT-7),TRUE
Antarctica/Casey,Antarctica/Casey (GMT+11),TRUE
Antarctica/Davis,Antarctica/Davis (GMT+7),TRUE
Antarctica/DumontDUrville,Antarctica/DumontDUrville (GMT+10),TRUE
Antarctica/Macquarie,Antarctica/Macquarie (GMT+11),TRUE
Antarctica/Mawson,Antarctica/Mawson (GMT+5),TRUE
Antarctica/Palmer,Antarctica/Palmer (GMT-3),TRUE
Antarctica/Rothera,Antarctica/Rothera (GMT-3),TRUE
Antarctica/Syowa,Antarctica/Syowa (GMT+3),TRUE
Antarctica/Troll,Antarctica/Troll (GMT),TRUE
Antarctica/Vostok,Antarctica/Vostok (GMT+6),TRUE
Asia/Almaty,Asia/Almaty (GMT+6),TRUE
Asia/Amman,Asia/Amman (GMT+3),TRUE
Asia/Anadyr,Asia/Anadyr (GMT+12),TRUE
Asia/Aqtau,Asia/Aqtau (GMT+5),TRUE
Asia/Aqtobe,Asia/Aqtobe (GMT+5),TRUE
Asia/Ashgabat,Asia/Ashgabat (GMT+5),TRUE
Asia/Atyrau,Asia/Atyrau (GMT+5),TRUE
Asia/Baghdad,Asia/Baghdad (GMT+3),TRUE
Asia/Baku,Asia/Baku (GMT+4),TRUE
Asia/Bangkok,Asia/Bangkok (GMT+7),TRUE
Asia/Barnaul,Asia/Barnaul (GMT+7),TRUE
Asia/Beirut,Asia/Beirut (GMT+2),TRUE
Asia/Bishkek,Asia/Bishkek (GMT+6),TRUE
Asia/Brunei,Asia/Brunei (GMT+8),TRUE
Asia/Chita,Asia/Chita (GMT+9),TRUE
Asia/Choibalsan,Asia/Choibalsan (GMT+8),TRUE
Asia/Colombo,Asia/Colombo (GMT+5:30),TRUE
Asia/Damascus,Asia/Damascus (GMT+3),TRUE
Asia/Dhaka,Asia/Dhaka (GMT+6),TRUE
Asia/Dili,Asia/Dili (GMT+9),TRUE
Asia/Dubai,Asia/Dubai (GMT+4),TRUE
Asia/Dushanbe,Asia/Dushanbe (GMT+5),TRUE
Asia/Famagusta,Asia/Famagusta (GMT+2),TRUE
Asia/Gaza,Asia/Gaza (GMT+2),TRUE
Asia/Hebron,Asia/Hebron (GMT+2),TRUE
